country,date,cases
Afghanistan,2021-01-01,51526.0
Afghanistan,2021-02-01,55059.0
Afghanistan,2021-03-01,55733.0
Afghanistan,2021-04-01,56517.0
Afghanistan,2021-05-01,59939.0
Afghanistan,2021-06-01,72977.0
Afghanistan,2021-07-01,120216.0
Albania,2021-01-01,58316.0
Albania,2021-02-01,78992.0
Albania,2021-03-01,107931.0
Albania,2021-04-01,125506.0
Albania,2021-05-01,131185.0
Albania,2021-06-01,132337.0
Albania,2021-07-01,132523.0
Algeria,2021-01-01,99897.0
Algeria,2021-02-01,107578.0
Algeria,2021-03-01,113255.0
Algeria,2021-04-01,117304.0
Algeria,2021-05-01,122311.0
Algeria,2021-06-01,129218.0
Algeria,2021-07-01,140075.0
Andorra,2021-01-01,8117.0
Andorra,2021-02-01,9972.0
Andorra,2021-03-01,10889.0
Andorra,2021-04-01,12053.0
Andorra,2021-05-01,13232.0
Andorra,2021-06-01,13729.0
Andorra,2021-07-01,13918.0
Angola,2021-01-01,17568.0
Angola,2021-02-01,19829.0
Angola,2021-03-01,20854.0
Angola,2021-04-01,22399.0
Angola,2021-05-01,26815.0
Angola,2021-06-01,34752.0
Angola,2021-07-01,38965.0
Antigua and Barbuda,2021-01-01,159.0
Antigua and Barbuda,2021-02-01,234.0
Antigua and Barbuda,2021-03-01,769.0
Antigua and Barbuda,2021-04-01,1147.0
Antigua and Barbuda,2021-05-01,1232.0
Antigua and Barbuda,2021-06-01,1260.0
Antigua and Barbuda,2021-07-01,1264.0
Argentina,2021-01-01,1629594.0
Argentina,2021-02-01,1933853.0
Argentina,2021-03-01,2112023.0
Argentina,2021-04-01,2363251.0
Argentina,2021-05-01,2993865.0
Argentina,2021-06-01,3817139.0
Argentina,2021-07-01,4491551.0
Armenia,2021-01-01,159738.0
Armenia,2021-02-01,167088.0
Armenia,2021-03-01,172216.0
Armenia,2021-04-01,193736.0
Armenia,2021-05-01,216596.0
Armenia,2021-06-01,222778.0
Armenia,2021-07-01,225221.0
Australia,2021-01-01,28460.0
Australia,2021-02-01,28823.0
Australia,2021-03-01,28986.0
Australia,2021-04-01,29333.0
Australia,2021-05-01,29824.0
Australia,2021-06-01,30124.0
Australia,2021-07-01,30684.0
Austria,2021-01-01,362911.0
Austria,2021-02-01,415522.0
Austria,2021-03-01,460849.0
Austria,2021-04-01,549592.0
Austria,2021-05-01,620485.0
Austria,2021-06-01,645152.0
Austria,2021-07-01,650474.0
Azerbaijan,2021-01-01,219041.0
Azerbaijan,2021-02-01,230296.0
Azerbaijan,2021-03-01,234662.0
Azerbaijan,2021-04-01,263961.0
Azerbaijan,2021-05-01,320322.0
Azerbaijan,2021-06-01,334132.0
Azerbaijan,2021-07-01,336122.0
Bahamas,2021-01-01,7887.0
Bahamas,2021-02-01,8174.0
Bahamas,2021-03-01,8519.0
Bahamas,2021-04-01,9171.0
Bahamas,2021-05-01,10453.0
Bahamas,2021-06-01,11796.0
Bahamas,2021-07-01,12735.0
Bahrain,2021-01-01,92913.0
Bahrain,2021-02-01,103582.0
Bahrain,2021-03-01,123039.0
Bahrain,2021-04-01,145380.0
Bahrain,2021-05-01,177997.0
Bahrain,2021-06-01,242790.0
Bahrain,2021-07-01,265975.0
Bangladesh,2021-01-01,514500.0
Bangladesh,2021-02-01,535582.0
Bangladesh,2021-03-01,546801.0
Bangladesh,2021-04-01,617764.0
Bangladesh,2021-05-01,760584.0
Bangladesh,2021-06-01,802305.0
Bangladesh,2021-07-01,921559.0
Barbados,2021-01-01,395.0
Barbados,2021-02-01,1558.0
Barbados,2021-03-01,3115.0
Barbados,2021-04-01,3659.0
Barbados,2021-05-01,3863.0
Barbados,2021-06-01,4017.0
Barbados,2021-07-01,4082.0
Belarus,2021-01-01,196223.0
Belarus,2021-02-01,249295.0
Belarus,2021-03-01,288267.0
Belarus,2021-04-01,323043.0
Belarus,2021-05-01,359982.0
Belarus,2021-06-01,395075.0
Belarus,2021-07-01,418212.0
Belgium,2021-01-01,648289.0
Belgium,2021-02-01,711417.0
Belgium,2021-03-01,772294.0
Belgium,2021-04-01,887920.0
Belgium,2021-05-01,993434.0
Belgium,2021-06-01,1063499.0
Belgium,2021-07-01,1085885.0
Belize,2021-01-01,10776.0
Belize,2021-02-01,11945.0
Belize,2021-03-01,12313.0
Belize,2021-04-01,12456.0
Belize,2021-05-01,12668.0
Belize,2021-06-01,12819.0
Belize,2021-07-01,13300.0
Benin,2021-01-01,3251.0
Benin,2021-02-01,3893.0
Benin,2021-03-01,5434.0
Benin,2021-04-01,7313.0
Benin,2021-05-01,7821.0
Benin,2021-06-01,8058.0
Benin,2021-07-01,8199.0
Bhutan,2021-01-01,689.0
Bhutan,2021-02-01,859.0
Bhutan,2021-03-01,867.0
Bhutan,2021-04-01,886.0
Bhutan,2021-05-01,1106.0
Bhutan,2021-06-01,1632.0
Bhutan,2021-07-01,2104.0
Bolivia,2021-01-01,160985.0
Bolivia,2021-02-01,218299.0
Bolivia,2021-03-01,249767.0
Bolivia,2021-04-01,273327.0
Bolivia,2021-05-01,306527.0
Bolivia,2021-06-01,374718.0
Bolivia,2021-07-01,441286.0
Bosnia and Herzegovina,2021-01-01,112143.0
Bosnia and Herzegovina,2021-02-01,122199.0
Bosnia and Herzegovina,2021-03-01,130979.0
Bosnia and Herzegovina,2021-04-01,171324.0
Bosnia and Herzegovina,2021-05-01,198461.0
Bosnia and Herzegovina,2021-06-01,204093.0
Bosnia and Herzegovina,2021-07-01,205032.0
Botswana,2021-01-01,14805.0
Botswana,2021-02-01,22738.0
Botswana,2021-03-01,30727.0
Botswana,2021-04-01,40878.0
Botswana,2021-05-01,46934.0
Botswana,2021-06-01,54973.0
Botswana,2021-07-01,71443.0
Brazil,2021-01-01,7700578.0
Brazil,2021-02-01,9229322.0
Brazil,2021-03-01,10587001.0
Brazil,2021-04-01,12839844.0
Brazil,2021-05-01,14725975.0
Brazil,2021-06-01,16624480.0
Brazil,2021-07-01,18622304.0
Brunei,2021-01-01,157.0
Brunei,2021-02-01,180.0
Brunei,2021-03-01,186.0
Brunei,2021-04-01,213.0
Brunei,2021-05-01,227.0
Brunei,2021-06-01,244.0
Brunei,2021-07-01,261.0
Bulgaria,2021-01-01,202540.0
Bulgaria,2021-02-01,219580.0
Bulgaria,2021-03-01,249626.0
Bulgaria,2021-04-01,346327.0
Bulgaria,2021-05-01,404846.0
Bulgaria,2021-06-01,418813.0
Bulgaria,2021-07-01,421902.0
Burkina Faso,2021-01-01,6828.0
Burkina Faso,2021-02-01,10768.0
Burkina Faso,2021-03-01,12030.0
Burkina Faso,2021-04-01,12774.0
Burkina Faso,2021-05-01,13319.0
Burkina Faso,2021-06-01,13435.0
Burkina Faso,2021-07-01,13485.0
Burma,2021-01-01,125042.0
Burma,2021-02-01,140354.0
Burma,2021-03-01,141916.0
Burma,2021-04-01,142466.0
Burma,2021-05-01,142831.0
Burma,2021-06-01,143751.0
Burma,2021-07-01,159347.0
Burundi,2021-01-01,822.0
Burundi,2021-02-01,1635.0
Burundi,2021-03-01,2217.0
Burundi,2021-04-01,2842.0
Burundi,2021-05-01,4018.0
Burundi,2021-06-01,4803.0
Burundi,2021-07-01,5482.0
Cabo Verde,2021-01-01,11872.0
Cabo Verde,2021-02-01,14098.0
Cabo Verde,2021-03-01,15432.0
Cabo Verde,2021-04-01,17587.0
Cabo Verde,2021-05-01,24127.0
Cabo Verde,2021-06-01,30523.0
Cabo Verde,2021-07-01,32594.0
Cambodia,2021-01-01,379.0
Cambodia,2021-02-01,466.0
Cambodia,2021-03-01,844.0
Cambodia,2021-04-01,2477.0
Cambodia,2021-05-01,13790.0
Cambodia,2021-06-01,30710.0
Cambodia,2021-07-01,51384.0
Cameroon,2021-01-01,26848.0
Cameroon,2021-02-01,29617.0
Cameroon,2021-03-01,35714.0
Cameroon,2021-04-01,57337.0
Cameroon,2021-05-01,72250.0
Cameroon,2021-06-01,78929.0
Cameroon,2021-07-01,80858.0
Canada,2021-01-01,591149.0
Canada,2021-02-01,788323.0
Canada,2021-03-01,874909.0
Canada,2021-04-01,995249.0
Canada,2021-05-01,1235669.0
Canada,2021-06-01,1391540.0
Canada,2021-07-01,1423321.0
Central African Republic,2021-01-01,4963.0
Central African Republic,2021-02-01,4989.0
Central African Republic,2021-03-01,5004.0
Central African Republic,2021-04-01,5222.0
Central African Republic,2021-05-01,6411.0
Central African Republic,2021-06-01,7091.0
Central African Republic,2021-07-01,7141.0
Chad,2021-01-01,2141.0
Chad,2021-02-01,3385.0
Chad,2021-03-01,3986.0
Chad,2021-04-01,4552.0
Chad,2021-05-01,4824.0
Chad,2021-06-01,4934.0
Chad,2021-07-01,4951.0
Chile,2021-01-01,612564.0
Chile,2021-02-01,730888.0
Chile,2021-03-01,829770.0
Chile,2021-04-01,1003406.0
Chile,2021-05-01,1203755.0
Chile,2021-06-01,1389357.0
Chile,2021-07-01,1558557.0
China,2021-01-01,96023.0
China,2021-02-01,100127.0
China,2021-03-01,100990.0
China,2021-04-01,101754.0
China,2021-05-01,102517.0
China,2021-06-01,103045.0
China,2021-07-01,103791.0
Colombia,2021-01-01,1654880.0
Colombia,2021-02-01,2104506.0
Colombia,2021-03-01,2255260.0
Colombia,2021-04-01,2417826.0
Colombia,2021-05-01,2877746.0
Colombia,2021-06-01,3432422.0
Colombia,2021-07-01,4269297.0
Comoros,2021-01-01,823.0
Comoros,2021-02-01,2811.0
Comoros,2021-03-01,3578.0
Comoros,2021-04-01,3704.0
Comoros,2021-05-01,3838.0
Comoros,2021-06-01,3881.0
Comoros,2021-07-01,3943.0
Congo (Brazzaville),2021-01-01,7107.0
Congo (Brazzaville),2021-02-01,7887.0
Congo (Brazzaville),2021-03-01,8820.0
Congo (Brazzaville),2021-04-01,9681.0
Congo (Brazzaville),2021-05-01,10678.0
Congo (Brazzaville),2021-06-01,11658.0
Congo (Brazzaville),2021-07-01,12695.0
Congo (Kinshasa),2021-01-01,17849.0
Congo (Kinshasa),2021-02-01,22842.0
Congo (Kinshasa),2021-03-01,25962.0
Congo (Kinshasa),2021-04-01,28199.0
Congo (Kinshasa),2021-05-01,29904.0
Congo (Kinshasa),2021-06-01,31651.0
Congo (Kinshasa),2021-07-01,41353.0
Costa Rica,2021-01-01,169321.0
Costa Rica,2021-02-01,194569.0
Costa Rica,2021-03-01,205086.0
Costa Rica,2021-04-01,216764.0
Costa Rica,2021-05-01,250991.0
Costa Rica,2021-06-01,321279.0
Costa Rica,2021-07-01,369540.0
Cote d'Ivoire,2021-01-01,22563.0
Cote d'Ivoire,2021-02-01,28475.0
Cote d'Ivoire,2021-03-01,32791.0
Cote d'Ivoire,2021-04-01,43889.0
Cote d'Ivoire,2021-05-01,46114.0
Cote d'Ivoire,2021-06-01,47319.0
Cote d'Ivoire,2021-07-01,48378.0
Croatia,2021-01-01,212007.0
Croatia,2021-02-01,232520.0
Croatia,2021-03-01,243064.0
Croatia,2021-04-01,274054.0
Croatia,2021-05-01,334229.0
Croatia,2021-06-01,356397.0
Croatia,2021-07-01,359975.0
Cuba,2021-01-01,12056.0
Cuba,2021-02-01,27592.0
Cuba,2021-03-01,50590.0
Cuba,2021-04-01,76276.0
Cuba,2021-05-01,107622.0
Cuba,2021-06-01,143323.0
Cuba,2021-07-01,193945.0
Cyprus,2021-01-01,22818.0
Cyprus,2021-02-01,30996.0
Cyprus,2021-03-01,35009.0
Cyprus,2021-04-01,46173.0
Cyprus,2021-05-01,65909.0
Cyprus,2021-06-01,72515.0
Cyprus,2021-07-01,76333.0
Czechia,2021-01-01,732022.0
Czechia,2021-02-01,987329.0
Czechia,2021-03-01,1240051.0
Czechia,2021-04-01,1539617.0
Czechia,2021-05-01,1632932.0
Czechia,2021-06-01,1661780.0
Czechia,2021-07-01,1667435.0
Denmark,2021-01-01,166567.0
Denmark,2021-02-01,199644.0
Denmark,2021-03-01,212380.0
Denmark,2021-04-01,231957.0
Denmark,2021-05-01,252740.0
Denmark,2021-06-01,282896.0
Denmark,2021-07-01,294980.0
Diamond Princess,2021-01-01,712.0
Diamond Princess,2021-02-01,712.0
Diamond Princess,2021-03-01,712.0
Diamond Princess,2021-04-01,712.0
Diamond Princess,2021-05-01,712.0
Diamond Princess,2021-06-01,712.0
Diamond Princess,2021-07-01,712.0
Djibouti,2021-01-01,5840.0
Djibouti,2021-02-01,5932.0
Djibouti,2021-03-01,6087.0
Djibouti,2021-04-01,8180.0
Djibouti,2021-05-01,11121.0
Djibouti,2021-06-01,11537.0
Djibouti,2021-07-01,11602.0
Dominica,2021-01-01,88.0
Dominica,2021-02-01,117.0
Dominica,2021-03-01,142.0
Dominica,2021-04-01,164.0
Dominica,2021-05-01,174.0
Dominica,2021-06-01,188.0
Dominica,2021-07-01,193.0
Dominican Republic,2021-01-01,172218.0
Dominican Republic,2021-02-01,215086.0
Dominican Republic,2021-03-01,239998.0
Dominican Republic,2021-04-01,253196.0
Dominican Republic,2021-05-01,266861.0
Dominican Republic,2021-06-01,294021.0
Dominican Republic,2021-07-01,326193.0
Ecuador,2021-01-01,213378.0
Ecuador,2021-02-01,250986.0
Ecuador,2021-03-01,286367.0
Ecuador,2021-04-01,330388.0
Ecuador,2021-05-01,384589.0
Ecuador,2021-06-01,427690.0
Ecuador,2021-07-01,459538.0
Egypt,2021-01-01,139471.0
Egypt,2021-02-01,166492.0
Egypt,2021-03-01,183010.0
Egypt,2021-04-01,202843.0
Egypt,2021-05-01,228584.0
Egypt,2021-06-01,263606.0
Egypt,2021-07-01,281524.0
El Salvador,2021-01-01,46515.0
El Salvador,2021-02-01,55195.0
El Salvador,2021-03-01,60337.0
El Salvador,2021-04-01,64875.0
El Salvador,2021-05-01,69198.0
El Salvador,2021-06-01,73702.0
El Salvador,2021-07-01,78766.0
Equatorial Guinea,2021-01-01,5277.0
Equatorial Guinea,2021-02-01,5534.0
Equatorial Guinea,2021-03-01,6095.0
Equatorial Guinea,2021-04-01,7008.0
Equatorial Guinea,2021-05-01,7694.0
Equatorial Guinea,2021-06-01,8572.0
Equatorial Guinea,2021-07-01,8742.0
Eritrea,2021-01-01,1320.0
Eritrea,2021-02-01,2135.0
Eritrea,2021-03-01,2866.0
Eritrea,2021-04-01,3308.0
Eritrea,2021-05-01,3671.0
Eritrea,2021-06-01,4117.0
Eritrea,2021-07-01,6028.0
Estonia,2021-01-01,28406.0
Estonia,2021-02-01,44575.0
Estonia,2021-03-01,66628.0
Estonia,2021-04-01,107253.0
Estonia,2021-05-01,122450.0
Estonia,2021-06-01,129674.0
Estonia,2021-07-01,131085.0
Eswatini,2021-01-01,9482.0
Eswatini,2021-02-01,15804.0
Eswatini,2021-03-01,17025.0
Eswatini,2021-04-01,17344.0
Eswatini,2021-05-01,18458.0
Eswatini,2021-06-01,18601.0
Eswatini,2021-07-01,19084.0
Ethiopia,2021-01-01,124652.0
Ethiopia,2021-02-01,138384.0
Ethiopia,2021-03-01,159972.0
Ethiopia,2021-04-01,208961.0
Ethiopia,2021-05-01,258062.0
Ethiopia,2021-06-01,271790.0
Ethiopia,2021-07-01,276250.0
Fiji,2021-01-01,49.0
Fiji,2021-02-01,55.0
Fiji,2021-03-01,59.0
Fiji,2021-04-01,67.0
Fiji,2021-05-01,119.0
Fiji,2021-06-01,464.0
Fiji,2021-07-01,4849.0
Finland,2021-01-01,36403.0
Finland,2021-02-01,45482.0
Finland,2021-03-01,58064.0
Finland,2021-04-01,78106.0
Finland,2021-05-01,87096.0
Finland,2021-06-01,92642.0
Finland,2021-07-01,95964.0
France,2021-01-01,2697014.0
France,2021-02-01,3260308.0
France,2021-03-01,3820369.0
France,2021-04-01,4755779.0
France,2021-05-01,5703505.0
France,2021-06-01,5738641.0
France,2021-07-01,5839967.0
Gabon,2021-01-01,9571.0
Gabon,2021-02-01,10952.0
Gabon,2021-03-01,14849.0
Gabon,2021-04-01,19550.0
Gabon,2021-05-01,23075.0
Gabon,2021-06-01,24429.0
Gabon,2021-07-01,25054.0
Gambia,2021-01-01,3800.0
Gambia,2021-02-01,4139.0
Gambia,2021-03-01,4712.0
Gambia,2021-04-01,5459.0
Gambia,2021-05-01,5898.0
Gambia,2021-06-01,5993.0
Gambia,2021-07-01,6079.0
Georgia,2021-01-01,228410.0
Georgia,2021-02-01,258351.0
Georgia,2021-03-01,270918.0
Georgia,2021-04-01,282260.0
Georgia,2021-05-01,311457.0
Georgia,2021-06-01,345196.0
Georgia,2021-07-01,367058.0
Germany,2021-01-01,1762637.0
Germany,2021-02-01,2232327.0
Germany,2021-03-01,2455569.0
Germany,2021-04-01,2866323.0
Germany,2021-05-01,3423900.0
Germany,2021-06-01,3692908.0
Germany,2021-07-01,3736959.0
Ghana,2021-01-01,54930.0
Ghana,2021-02-01,67010.0
Ghana,2021-03-01,84023.0
Ghana,2021-04-01,90583.0
Ghana,2021-05-01,92601.0
Ghana,2021-06-01,94011.0
Ghana,2021-07-01,95914.0
Greece,2021-01-01,139447.0
Greece,2021-02-01,157495.0
Greece,2021-03-01,192270.0
Greece,2021-04-01,267172.0
Greece,2021-05-01,346422.0
Greece,2021-06-01,404163.0
Greece,2021-07-01,423185.0
Grenada,2021-01-01,127.0
Grenada,2021-02-01,148.0
Grenada,2021-03-01,148.0
Grenada,2021-04-01,155.0
Grenada,2021-05-01,160.0
Grenada,2021-06-01,161.0
Grenada,2021-07-01,161.0
Guatemala,2021-01-01,138236.0
Guatemala,2021-02-01,159632.0
Guatemala,2021-03-01,174653.0
Guatemala,2021-04-01,194756.0
Guatemala,2021-05-01,228477.0
Guatemala,2021-06-01,255833.0
Guatemala,2021-07-01,296438.0
Guinea,2021-01-01,13738.0
Guinea,2021-02-01,14555.0
Guinea,2021-03-01,16005.0
Guinea,2021-04-01,20083.0
Guinea,2021-05-01,22247.0
Guinea,2021-06-01,23194.0
Guinea,2021-07-01,23787.0
Guinea-Bissau,2021-01-01,2452.0
Guinea-Bissau,2021-02-01,2634.0
Guinea-Bissau,2021-03-01,3262.0
Guinea-Bissau,2021-04-01,3661.0
Guinea-Bissau,2021-05-01,3736.0
Guinea-Bissau,2021-06-01,3770.0
Guinea-Bissau,2021-07-01,3869.0
Guyana,2021-01-01,6348.0
Guyana,2021-02-01,7654.0
Guyana,2021-03-01,8595.0
Guyana,2021-04-01,10375.0
Guyana,2021-05-01,13404.0
Guyana,2021-06-01,17114.0
Guyana,2021-07-01,20142.0
Haiti,2021-01-01,10015.0
Haiti,2021-02-01,11533.0
Haiti,2021-03-01,12448.0
Haiti,2021-04-01,12762.0
Haiti,2021-05-01,13056.0
Haiti,2021-06-01,14565.0
Haiti,2021-07-01,18658.0
