country,date,cases
Afghanistan,2020-02-01,0.0
Afghanistan,2020-03-01,0.0
Afghanistan,2020-04-01,5.0
Afghanistan,2020-05-01,310.0
Afghanistan,2020-06-01,1428.0
Afghanistan,2020-07-01,15651.0
Afghanistan,2020-08-01,25509.0
Afghanistan,2020-09-01,29231.0
Afghanistan,2020-10-01,32842.0
Afghanistan,2020-11-01,34326.0
Afghanistan,2020-12-01,36946.0
Afghanistan,2021-01-01,41727.0
Afghanistan,2021-02-01,47723.0
Afghanistan,2021-03-01,49344.0
Afghanistan,2021-04-01,51788.0
Afghanistan,2021-05-01,53272.0
Afghanistan,2021-06-01,57741.0
Afghanistan,2021-07-01,71924.0
Albania,2020-02-01,0.0
Albania,2020-03-01,0.0
Albania,2020-04-01,67.0
Albania,2020-05-01,488.0
Albania,2020-06-01,877.0
Albania,2020-07-01,1516.0
Albania,2020-08-01,2961.0
Albania,2020-09-01,5441.0
Albania,2020-10-01,8077.0
Albania,2020-11-01,11246.0
Albania,2020-12-01,19384.0
Albania,2021-01-01,33634.0
Albania,2021-02-01,47922.0
Albania,2021-03-01,70413.0
Albania,2021-04-01,91875.0
Albania,2021-05-01,110172.0
Albania,2021-06-01,129473.0
Albania,2021-07-01,130014.0
Algeria,2020-02-01,0.0
Algeria,2020-03-01,0.0
Algeria,2020-04-01,61.0
Algeria,2020-05-01,1821.0
Algeria,2020-06-01,5894.0
Algeria,2020-07-01,10040.0
Algeria,2020-08-01,20988.0
Algeria,2020-09-01,31493.0
Algeria,2020-10-01,36282.0
Algeria,2020-11-01,40395.0
Algeria,2020-12-01,54405.0
Algeria,2021-01-01,67395.0
Algeria,2021-02-01,73530.0
Algeria,2021-03-01,78234.0
Algeria,2021-04-01,81632.0
Algeria,2021-05-01,85249.0
Algeria,2021-06-01,90057.0
Algeria,2021-07-01,97380.0
Andorra,2020-02-01,0.0
Andorra,2020-03-01,0.0
Andorra,2020-04-01,10.0
Andorra,2020-05-01,468.0
Andorra,2020-06-01,698.0
Andorra,2020-07-01,799.0
Andorra,2020-08-01,807.0
Andorra,2020-09-01,908.0
Andorra,2020-10-01,1432.0
Andorra,2020-11-01,3475.0
Andorra,2020-12-01,5940.0
Andorra,2021-01-01,7463.0
Andorra,2021-02-01,9206.0
Andorra,2021-03-01,10475.0
Andorra,2021-04-01,11365.0
Andorra,2021-05-01,12684.0
Andorra,2021-06-01,13479.0
Andorra,2021-07-01,13721.0
Angola,2020-02-01,0.0
Angola,2020-03-01,0.0
Angola,2020-04-01,1.0
Angola,2020-05-01,11.0
Angola,2020-06-01,18.0
Angola,2020-07-01,97.0
Angola,2020-08-01,460.0
Angola,2020-09-01,1084.0
Angola,2020-10-01,2082.0
Angola,2020-11-01,4920.0
Angola,2020-12-01,7932.0
Angola,2021-01-01,11146.0
Angola,2021-02-01,18180.0
Angola,2021-03-01,19400.0
Angola,2021-04-01,20508.0
Angola,2021-05-01,23913.0
Angola,2021-06-01,28190.0
Angola,2021-07-01,33271.0
Antigua and Barbuda,2020-02-01,0.0
Antigua and Barbuda,2020-03-01,0.0
Antigua and Barbuda,2020-04-01,0.0
Antigua and Barbuda,2020-05-01,15.0
Antigua and Barbuda,2020-06-01,19.0
Antigua and Barbuda,2020-07-01,22.0
Antigua and Barbuda,2020-08-01,67.0
Antigua and Barbuda,2020-09-01,91.0
Antigua and Barbuda,2020-10-01,92.0
Antigua and Barbuda,2020-11-01,117.0
Antigua and Barbuda,2020-12-01,130.0
Antigua and Barbuda,2021-01-01,148.0
Antigua and Barbuda,2021-02-01,177.0
Antigua and Barbuda,2021-03-01,307.0
Antigua and Barbuda,2021-04-01,857.0
Antigua and Barbuda,2021-05-01,1014.0
Antigua and Barbuda,2021-06-01,1213.0
Antigua and Barbuda,2021-07-01,1222.0
Argentina,2020-02-01,0.0
Argentina,2020-03-01,0.0
Argentina,2020-04-01,248.0
Argentina,2020-05-01,1292.0
Argentina,2020-06-01,5521.0
Argentina,2020-07-01,23040.0
Argentina,2020-08-01,86499.0
Argentina,2020-09-01,308376.0
Argentina,2020-10-01,603140.0
Argentina,2020-11-01,985316.0
Argentina,2020-12-01,1263251.0
Argentina,2021-01-01,1426676.0
Argentina,2021-02-01,1729999.0
Argentina,2021-03-01,1911338.0
Argentina,2021-04-01,2112266.0
Argentina,2021-05-01,2655359.0
Argentina,2021-06-01,3381337.0
Argentina,2021-07-01,4092053.0
Armenia,2020-02-01,0.0
Armenia,2020-03-01,0.0
Armenia,2020-04-01,31.0
Armenia,2020-05-01,977.0
Armenia,2020-06-01,3402.0
Armenia,2020-07-01,14563.0
Armenia,2020-08-01,29557.0
Armenia,2020-09-01,38356.0
Armenia,2020-10-01,44219.0
Armenia,2020-11-01,55827.0
Armenia,2020-12-01,110365.0
Armenia,2021-01-01,143355.0
Armenia,2021-02-01,157800.0
Armenia,2021-03-01,163511.0
Armenia,2021-04-01,173681.0
Armenia,2021-05-01,199115.0
Armenia,2021-06-01,213429.0
Armenia,2021-07-01,216882.0
Australia,2020-02-01,2.0
Australia,2020-03-01,11.0
Australia,2020-04-01,422.0
Australia,2020-05-01,5775.0
Australia,2020-06-01,6626.0
Australia,2020-07-01,7090.0
Australia,2020-08-01,7213.0
Australia,2020-09-01,18695.0
Australia,2020-10-01,21659.0
Australia,2020-11-01,22204.0
Australia,2020-12-01,22423.0
Australia,2021-01-01,22573.0
Australia,2021-02-01,22808.0
Australia,2021-03-01,22914.0
Australia,2021-04-01,23014.0
Australia,2021-05-01,23308.0
Australia,2021-06-01,23584.0
Australia,2021-07-01,23819.0
Austria,2020-02-01,0.0
Austria,2020-03-01,0.0
Austria,2020-04-01,1436.0
Austria,2020-05-01,13110.0
Austria,2020-06-01,15596.0
Austria,2020-07-01,16491.0
Austria,2020-08-01,18911.0
Austria,2020-09-01,23565.0
Austria,2020-10-01,36476.0
Austria,2020-11-01,69336.0
Austria,2020-12-01,227497.0
Austria,2021-01-01,334901.0
Austria,2021-02-01,393747.0
Austria,2021-03-01,432016.0
Austria,2021-04-01,503729.0
Austria,2021-05-01,587115.0
Austria,2021-06-01,629713.0
Austria,2021-07-01,637909.0
Azerbaijan,2020-02-01,0.0
Azerbaijan,2020-03-01,0.0
Azerbaijan,2020-04-01,26.0
Azerbaijan,2020-05-01,1365.0
Azerbaijan,2020-06-01,3508.0
Azerbaijan,2020-07-01,10061.0
Azerbaijan,2020-08-01,26474.0
Azerbaijan,2020-09-01,33977.0
Azerbaijan,2020-10-01,38068.0
Azerbaijan,2020-11-01,44157.0
Azerbaijan,2020-12-01,76897.0
Azerbaijan,2021-01-01,188280.0
Azerbaijan,2021-02-01,223475.0
Azerbaijan,2021-03-01,228839.0
Azerbaijan,2021-04-01,238985.0
Azerbaijan,2021-05-01,291564.0
Azerbaijan,2021-06-01,325040.0
Azerbaijan,2021-07-01,330275.0
Bahamas,2020-02-01,0.0
Bahamas,2020-03-01,0.0
Bahamas,2020-04-01,1.0
Bahamas,2020-05-01,24.0
Bahamas,2020-06-01,49.0
Bahamas,2020-07-01,89.0
Bahamas,2020-08-01,91.0
Bahamas,2020-09-01,801.0
Bahamas,2020-10-01,2206.0
Bahamas,2020-11-01,4422.0
Bahamas,2020-12-01,5934.0
Bahamas,2021-01-01,6239.0
Bahamas,2021-02-01,6771.0
Bahamas,2021-03-01,7309.0
Bahamas,2021-04-01,8676.0
Bahamas,2021-05-01,9494.0
Bahamas,2021-06-01,10730.0
Bahamas,2021-07-01,11603.0
Bahrain,2020-02-01,0.0
Bahrain,2020-03-01,0.0
Bahrain,2020-04-01,337.0
Bahrain,2020-05-01,1555.0
Bahrain,2020-06-01,7070.0
Bahrain,2020-07-01,21948.0
Bahrain,2020-08-01,38211.0
Bahrain,2020-09-01,49395.0
Bahrain,2020-10-01,65550.0
Bahrain,2020-11-01,78997.0
Bahrain,2020-12-01,85357.0
Bahrain,2021-01-01,90369.0
Bahrain,2021-02-01,99000.0
Bahrain,2021-03-01,115895.0
Bahrain,2021-04-01,136064.0
Bahrain,2021-05-01,166851.0
Bahrain,2021-06-01,213827.0
Bahrain,2021-07-01,261740.0
Bangladesh,2020-02-01,0.0
Bangladesh,2020-03-01,0.0
Bangladesh,2020-04-01,25.0
Bangladesh,2020-05-01,174.0
Bangladesh,2020-06-01,10597.0
Bangladesh,2020-07-01,62108.0
Bangladesh,2020-08-01,136253.0
Bangladesh,2020-09-01,208177.0
Bangladesh,2020-10-01,277078.0
Bangladesh,2020-11-01,325940.0
Bangladesh,2020-12-01,383224.0
Bangladesh,2021-01-01,458656.0
Bangladesh,2021-02-01,480216.0
Bangladesh,2021-03-01,497797.0
Bangladesh,2021-04-01,544938.0
Bangladesh,2021-05-01,684671.0
Bangladesh,2021-06-01,742151.0
Bangladesh,2021-07-01,820913.0
Barbados,2020-02-01,0.0
Barbados,2020-03-01,0.0
Barbados,2020-04-01,0.0
Barbados,2020-05-01,39.0
Barbados,2020-06-01,76.0
Barbados,2020-07-01,90.0
Barbados,2020-08-01,98.0
Barbados,2020-09-01,146.0
Barbados,2020-10-01,179.0
Barbados,2020-11-01,221.0
Barbados,2020-12-01,255.0
Barbados,2021-01-01,319.0
Barbados,2021-02-01,1169.0
Barbados,2021-03-01,2443.0
Barbados,2021-04-01,3506.0
Barbados,2021-05-01,3783.0
Barbados,2021-06-01,3922.0
Barbados,2021-07-01,3999.0
Belarus,2020-02-01,0.0
Belarus,2020-03-01,0.0
Belarus,2020-04-01,53.0
Belarus,2020-05-01,2918.0
Belarus,2020-06-01,18776.0
Belarus,2020-07-01,47553.0
Belarus,2020-08-01,62686.0
Belarus,2020-09-01,70606.0
Belarus,2020-10-01,74777.0
Belarus,2020-11-01,87188.0
Belarus,2020-12-01,115587.0
Belarus,2021-01-01,178102.0
Belarus,2021-02-01,236516.0
Belarus,2021-03-01,278661.0
Belarus,2021-04-01,313628.0
Belarus,2021-05-01,350433.0
Belarus,2021-06-01,386088.0
Belarus,2021-07-01,410984.0
Belgium,2020-02-01,0.0
Belgium,2020-03-01,1.0
Belgium,2020-04-01,2132.0
Belgium,2020-05-01,11892.0
Belgium,2020-06-01,15919.0
Belgium,2020-07-01,17021.0
Belgium,2020-08-01,17573.0
Belgium,2020-09-01,18457.0
Belgium,2020-10-01,19521.0
Belgium,2020-11-01,25819.0
Belgium,2020-12-01,0.0
Belgium,2021-01-01,0.0
Belgium,2021-02-01,0.0
Belgium,2021-03-01,0.0
Belgium,2021-04-01,0.0
Belgium,2021-05-01,0.0
Belgium,2021-06-01,0.0
Belgium,2021-07-01,0.0
Belize,2020-02-01,0.0
Belize,2020-03-01,0.0
Belize,2020-04-01,0.0
Belize,2020-05-01,13.0
Belize,2020-06-01,16.0
Belize,2020-07-01,18.0
Belize,2020-08-01,30.0
Belize,2020-09-01,213.0
Belize,2020-10-01,1246.0
Belize,2020-11-01,2207.0
Belize,2020-12-01,3151.0
Belize,2021-01-01,9795.0
Belize,2021-02-01,11353.0
Belize,2021-03-01,11860.0
Belize,2021-04-01,12090.0
Belize,2021-05-01,12218.0
Belize,2021-06-01,12417.0
Belize,2021-07-01,12665.0
Benin,2020-02-01,0.0
Benin,2020-03-01,0.0
Benin,2020-04-01,1.0
Benin,2020-05-01,42.0
Benin,2020-06-01,147.0
Benin,2020-07-01,333.0
Benin,2020-08-01,1036.0
Benin,2020-09-01,1738.0
Benin,2020-10-01,1973.0
Benin,2020-11-01,2455.0
Benin,2020-12-01,2839.0
Benin,2021-01-01,3061.0
Benin,2021-02-01,3421.0
Benin,2021-03-01,4248.0
Benin,2021-04-01,6452.0
Benin,2021-05-01,7580.0
Benin,2021-06-01,7893.0
Benin,2021-07-01,8000.0
Bhutan,2020-02-01,0.0
Bhutan,2020-03-01,0.0
Bhutan,2020-04-01,0.0
Bhutan,2020-05-01,5.0
Bhutan,2020-06-01,6.0
Bhutan,2020-07-01,50.0
Bhutan,2020-08-01,89.0
Bhutan,2020-09-01,142.0
Bhutan,2020-10-01,225.0
Bhutan,2020-11-01,325.0
Bhutan,2020-12-01,386.0
Bhutan,2021-01-01,449.0
Bhutan,2021-02-01,821.0
Bhutan,2021-03-01,865.0
Bhutan,2021-04-01,869.0
Bhutan,2021-05-01,990.0
Bhutan,2021-06-01,1308.0
Bhutan,2021-07-01,1811.0
Bolivia,2020-02-01,0.0
Bolivia,2020-03-01,0.0
Bolivia,2020-04-01,1.0
Bolivia,2020-05-01,134.0
Bolivia,2020-06-01,1137.0
Bolivia,2020-07-01,9764.0
Bolivia,2020-08-01,23968.0
Bolivia,2020-09-01,62124.0
Bolivia,2020-10-01,96165.0
Bolivia,2020-11-01,111848.0
Bolivia,2020-12-01,122495.0
Bolivia,2021-01-01,132510.0
Bolivia,2021-02-01,160326.0
Bolivia,2021-03-01,193652.0
Bolivia,2021-04-01,222924.0
Bolivia,2021-05-01,252780.0
Bolivia,2021-06-01,297580.0
Bolivia,2021-07-01,363431.0
Bosnia and Herzegovina,2020-02-01,0.0
Bosnia and Herzegovina,2020-03-01,0.0
Bosnia and Herzegovina,2020-04-01,19.0
Bosnia and Herzegovina,2020-05-01,755.0
Bosnia and Herzegovina,2020-06-01,1888.0
Bosnia and Herzegovina,2020-07-01,2432.0
Bosnia and Herzegovina,2020-08-01,5959.0
Bosnia and Herzegovina,2020-09-01,13435.0
Bosnia and Herzegovina,2020-10-01,20947.0
Bosnia and Herzegovina,2020-11-01,28194.0
Bosnia and Herzegovina,2020-12-01,53724.0
Bosnia and Herzegovina,2021-01-01,77682.0
Bosnia and Herzegovina,2021-02-01,95180.0
Bosnia and Herzegovina,2021-03-01,115847.0
Bosnia and Herzegovina,2021-04-01,131166.0
Bosnia and Herzegovina,2021-05-01,159223.0
Bosnia and Herzegovina,2021-06-01,175456.0
Bosnia and Herzegovina,2021-07-01,183534.0
Botswana,2020-02-01,0.0
Botswana,2020-03-01,0.0
Botswana,2020-04-01,0.0
Botswana,2020-05-01,8.0
Botswana,2020-06-01,20.0
Botswana,2020-07-01,28.0
Botswana,2020-08-01,63.0
Botswana,2020-09-01,493.0
Botswana,2020-10-01,710.0
Botswana,2020-11-01,4676.0
Botswana,2020-12-01,7912.0
Botswana,2021-01-01,12136.0
Botswana,2021-02-01,18468.0
Botswana,2021-03-01,24884.0
Botswana,2021-04-01,36958.0
Botswana,2021-05-01,44960.0
Botswana,2021-06-01,51259.0
Botswana,2021-07-01,66323.0
Brazil,2020-02-01,0.0
Brazil,2020-03-01,0.0
Brazil,2020-04-01,127.0
Brazil,2020-05-01,38039.0
Brazil,2020-06-01,211080.0
Brazil,2020-07-01,817642.0
Brazil,2020-08-01,2037982.0
Brazil,2020-09-01,3345240.0
Brazil,2020-10-01,4299659.0
Brazil,2020-11-01,5022338.0
Brazil,2020-12-01,5712305.0
Brazil,2021-01-01,6855372.0
Brazil,2021-02-01,8202354.0
Brazil,2021-03-01,9437611.0
Brazil,2021-04-01,11240213.0
Brazil,2021-05-01,13023892.0
Brazil,2021-06-01,14694950.0
Brazil,2021-07-01,16477253.0
Brunei,2020-02-01,0.0
Brunei,2020-03-01,0.0
Brunei,2020-04-01,52.0
Brunei,2020-05-01,124.0
Brunei,2020-06-01,138.0
Brunei,2020-07-01,138.0
Brunei,2020-08-01,138.0
Brunei,2020-09-01,139.0
Brunei,2020-10-01,142.0
Brunei,2020-11-01,143.0
Brunei,2020-12-01,145.0
Brunei,2021-01-01,149.0
Brunei,2021-02-01,170.0
Brunei,2021-03-01,181.0
Brunei,2021-04-01,195.0
Brunei,2021-05-01,218.0
Brunei,2021-06-01,231.0
Brunei,2021-07-01,248.0
Bulgaria,2020-02-01,0.0
Bulgaria,2020-03-01,0.0
Bulgaria,2020-04-01,20.0
Bulgaria,2020-05-01,276.0
Bulgaria,2020-06-01,1090.0
Bulgaria,2020-07-01,2722.0
Bulgaria,2020-08-01,6396.0
Bulgaria,2020-09-01,11615.0
Bulgaria,2020-10-01,14634.0
Bulgaria,2020-11-01,20530.0
Bulgaria,2020-12-01,53000.0
Bulgaria,2021-01-01,120343.0
Bulgaria,2021-02-01,188972.0
Bulgaria,2021-03-01,206630.0
Bulgaria,2021-04-01,262095.0
Bulgaria,2021-05-01,339889.0
Bulgaria,2021-06-01,383765.0
Bulgaria,2021-07-01,394930.0
Burkina Faso,2020-02-01,0.0
Burkina Faso,2020-03-01,0.0
Burkina Faso,2020-04-01,46.0
Burkina Faso,2020-05-01,517.0
Burkina Faso,2020-06-01,720.0
Burkina Faso,2020-07-01,838.0
Burkina Faso,2020-08-01,935.0
Burkina Faso,2020-09-01,1075.0
Burkina Faso,2020-10-01,1363.0
Burkina Faso,2020-11-01,2250.0
Burkina Faso,2020-12-01,2644.0
Burkina Faso,2021-01-01,5152.0
Burkina Faso,2021-02-01,9397.0
Burkina Faso,2021-03-01,11588.0
Burkina Faso,2021-04-01,12420.0
Burkina Faso,2021-05-01,13053.0
Burkina Faso,2021-06-01,13256.0
Burkina Faso,2021-07-01,13308.0
Burma,2020-02-01,0.0
Burma,2020-03-01,0.0
Burma,2020-04-01,0.0
Burma,2020-05-01,31.0
Burma,2020-06-01,138.0
Burma,2020-07-01,222.0
Burma,2020-08-01,297.0
Burma,2020-09-01,357.0
Burma,2020-10-01,4156.0
Burma,2020-11-01,34189.0
Burma,2020-12-01,71343.0
Burma,2021-01-01,107777.0
Burma,2021-02-01,125324.0
Burma,2021-03-01,131487.0
Burma,2021-04-01,131802.0
Burma,2021-05-01,131972.0
Burma,2021-06-01,132360.0
Burma,2021-07-01,136992.0
Burundi,2020-02-01,0.0
Burundi,2020-03-01,0.0
Burundi,2020-04-01,0.0
Burundi,2020-05-01,4.0
Burundi,2020-06-01,33.0
Burundi,2020-07-01,115.0
Burundi,2020-08-01,304.0
Burundi,2020-09-01,357.0
Burundi,2020-10-01,472.0
Burundi,2020-11-01,511.0
Burundi,2020-12-01,575.0
Burundi,2021-01-01,687.0
Burundi,2021-02-01,773.0
Burundi,2021-03-01,773.0
Burundi,2021-04-01,773.0
Burundi,2021-05-01,773.0
Burundi,2021-06-01,773.0
Burundi,2021-07-01,773.0
Cabo Verde,2020-02-01,0.0
Cabo Verde,2020-03-01,0.0
Cabo Verde,2020-04-01,0.0
Cabo Verde,2020-05-01,18.0
Cabo Verde,2020-06-01,193.0
Cabo Verde,2020-07-01,629.0
Cabo Verde,2020-08-01,1837.0
Cabo Verde,2020-09-01,3423.0
Cabo Verde,2020-10-01,5338.0
Cabo Verde,2020-11-01,8012.0
Cabo Verde,2020-12-01,10366.0
Cabo Verde,2021-01-01,11569.0
Cabo Verde,2021-02-01,13251.0
Cabo Verde,2021-03-01,14875.0
Cabo Verde,2021-04-01,16340.0
Cabo Verde,2021-05-01,20711.0
Cabo Verde,2021-06-01,28804.0
Cabo Verde,2021-07-01,31692.0
Cambodia,2020-02-01,0.0
Cambodia,2020-03-01,1.0
Cambodia,2020-04-01,25.0
Cambodia,2020-05-01,120.0
Cambodia,2020-06-01,123.0
Cambodia,2020-07-01,131.0
Cambodia,2020-08-01,196.0
Cambodia,2020-09-01,266.0
Cambodia,2020-10-01,275.0
Cambodia,2020-11-01,283.0
Cambodia,2020-12-01,304.0
Cambodia,2021-01-01,362.0
Cambodia,2021-02-01,443.0
Cambodia,2021-03-01,478.0
Cambodia,2021-04-01,1240.0
Cambodia,2021-05-01,5200.0
Cambodia,2021-06-01,23389.0
Cambodia,2021-07-01,44858.0
Cameroon,2020-02-01,0.0
Cameroon,2020-03-01,0.0
Cameroon,2020-04-01,10.0
Cameroon,2020-05-01,934.0
Cameroon,2020-06-01,3629.0
Cameroon,2020-07-01,10100.0
Cameroon,2020-08-01,15320.0
Cameroon,2020-09-01,17651.0
Cameroon,2020-10-01,19440.0
Cameroon,2020-11-01,21151.0
Cameroon,2020-12-01,22177.0
Cameroon,2021-01-01,24892.0
Cameroon,2021-02-01,28045.0
Cameroon,2021-03-01,32594.0
Cameroon,2021-04-01,35261.0
Cameroon,2021-05-01,35261.0
Cameroon,2021-06-01,35261.0
Cameroon,2021-07-01,35261.0
Canada,2020-02-01,0.0
Canada,2020-03-01,6.0
Canada,2020-04-01,1324.0
Canada,2020-05-01,22764.0
Canada,2020-06-01,50091.0
Canada,2020-07-01,69397.0
Canada,2020-08-01,103072.0
Canada,2020-09-01,116432.0
Canada,2020-10-01,138548.0
Canada,2020-11-01,200768.0
Canada,2020-12-01,309557.0
Canada,2021-01-01,494437.0
Canada,2021-02-01,718049.0
Canada,2021-03-01,823249.0
Canada,2021-04-01,922632.0
Canada,2021-05-01,1131494.0
Canada,2021-06-01,1335777.0
Canada,2021-07-01,1389557.0
Central African Republic,2020-02-01,0.0
Central African Republic,2020-03-01,0.0
Central African Republic,2020-04-01,0.0
Central African Republic,2020-05-01,10.0
Central African Republic,2020-06-01,23.0
Central African Republic,2020-07-01,787.0
Central African Republic,2020-08-01,1635.0
Central African Republic,2020-09-01,1790.0
Central African Republic,2020-10-01,1914.0
Central African Republic,2020-11-01,1924.0
Central African Republic,2020-12-01,1924.0
Central African Republic,2021-01-01,1924.0
Central African Republic,2021-02-01,4885.0
Central African Republic,2021-03-01,4920.0
Central African Republic,2021-04-01,4957.0
Central African Republic,2021-05-01,5112.0
Central African Republic,2021-06-01,6859.0
Central African Republic,2021-07-01,6859.0
Chad,2020-02-01,0.0
Chad,2020-03-01,0.0
Chad,2020-04-01,0.0
Chad,2020-05-01,33.0
Chad,2020-06-01,539.0
Chad,2020-07-01,785.0
Chad,2020-08-01,813.0
