country,date,cases
Afghanistan,2021-01-01,51526.0
Albania,2021-01-01,58316.0
Algeria,2021-01-01,99897.0
Andorra,2021-01-01,8117.0
Angola,2021-01-01,17568.0
Antigua and Barbuda,2021-01-01,159.0
Argentina,2021-01-01,1629594.0
Armenia,2021-01-01,159738.0
Australia,2021-01-01,118.0
Australia,2021-01-01,4947.0
Australia,2021-01-01,75.0
Australia,2021-01-01,1255.0
Australia,2021-01-01,580.0
Australia,2021-01-01,234.0
Australia,2021-01-01,20388.0
Australia,2021-01-01,863.0
Austria,2021-01-01,362911.0
Azerbaijan,2021-01-01,219041.0
Bahamas,2021-01-01,7887.0
Bahrain,2021-01-01,92913.0
Bangladesh,2021-01-01,514500.0
Barbados,2021-01-01,395.0
Belarus,2021-01-01,196223.0
Belgium,2021-01-01,648289.0
Belize,2021-01-01,10776.0
Benin,2021-01-01,3251.0
Bhutan,2021-01-01,689.0
Bolivia,2021-01-01,160985.0
Bosnia and Herzegovina,2021-01-01,112143.0
Botswana,2021-01-01,14805.0
Brazil,2021-01-01,7700578.0
Brunei,2021-01-01,157.0
Bulgaria,2021-01-01,202540.0
Burkina Faso,2021-01-01,6828.0
Burma,2021-01-01,125042.0
Burundi,2021-01-01,822.0
Cabo Verde,2021-01-01,11872.0
Cambodia,2021-01-01,379.0
Cameroon,2021-01-01,26848.0
Canada,2021-01-01,100428.0
Canada,2021-01-01,51990.0
Canada,2021-01-01,0.0
Canada,2021-01-01,13.0
Canada,2021-01-01,24700.0
Canada,2021-01-01,601.0
Canada,2021-01-01,390.0
Canada,2021-01-01,24.0
Canada,2021-01-01,1486.0
Canada,2021-01-01,266.0
Canada,2021-01-01,187344.0
Canada,2021-01-01,94.0
Canada,2021-01-01,202641.0
Canada,2021-01-01,13.0
Canada,2021-01-01,15350.0
Canada,2021-01-01,60.0
Central African Republic,2021-01-01,4963.0
Chad,2021-01-01,2141.0
Chile,2021-01-01,612564.0
China,2021-01-01,993.0
China,2021-01-01,988.0
China,2021-01-01,590.0
China,2021-01-01,513.0
China,2021-01-01,182.0
China,2021-01-01,2046.0
China,2021-01-01,264.0
China,2021-01-01,147.0
China,2021-01-01,171.0
